permit_id,permit_number,permit_type,address,work_description,property_owner,lead_type,contractor_name,contractor_type,business_match,business_name,business_dba,business_account,business_address,business_city,business_state,business_zip,business_website,business_phone,business_email,contact_source,business_owner,owner_title,latitude,longitude
3430977,101076017,PERMIT - WRECKING/DEMOLITION,474 N MILWAUKEE AVE,WRECK AND REMOVE A 2 STORY MASONRY MIXED USE BUILDING,M478A LLC,PROPERTY_OWNER,"ON TIME EXPEDITING, LLC",EXPEDITOR,MATCHED,OTE 1202 LLC,"ON TIME EXPEDITING, LLC",490064,214 S PROSPECT AVE  2,ITASCA,IL,60143,https://www.homes.com/property/1202-prospect-ave-willow-springs-il/p1xghly7szld1,,,https://www.homes.com/property/1202-prospect-ave-willow-springs-il/p1xghly7szld1,LISA ADREANI,MANAGING MEMBER,41.89049939878379,-87.6467507744766
3430977,101076017,PERMIT - WRECKING/DEMOLITION,474 N MILWAUKEE AVE,WRECK AND REMOVE A 2 STORY MASONRY MIXED USE BUILDING,M478A LLC,PROPERTY_OWNER,BRIDGES EXCAVATING INC,CONTRACTOR-GENERAL CONTRACTOR,MATCHED,BRIDGES EXCAVATING LLC,BRIDGES EXCAVATING LLC,287067,4101  DEAN DR,OAK LAWN,IL,60453,https://www.zoominfo.com/c/bridges-excavating-llc/372920838,,,https://www.zoominfo.com/c/bridges-excavating-llc/372920838,JOHN M BRIDGES,PRESIDENT,41.89049939878379,-87.6467507744766
3431370,101076175,PERMIT - WRECKING/DEMOLITION,470 N MILWAUKEE AVE,WRECK AND REMOVE A 2 STORY MASONRY MIXED USE BUILDING,M478A LLC,PROPERTY_OWNER,"ON TIME EXPEDITING, LLC",EXPEDITOR,MATCHED,OTE 1202 LLC,"ON TIME EXPEDITING, LLC",490064,214 S PROSPECT AVE  2,ITASCA,IL,60143,https://www.homes.com/property/1202-prospect-ave-willow-springs-il/p1xghly7szld1,,,https://www.homes.com/property/1202-prospect-ave-willow-springs-il/p1xghly7szld1,LISA ADREANI,MANAGING MEMBER,41.89040629525624,-87.6466064283064
3431370,101076175,PERMIT - WRECKING/DEMOLITION,470 N MILWAUKEE AVE,WRECK AND REMOVE A 2 STORY MASONRY MIXED USE BUILDING,M478A LLC,PROPERTY_OWNER,BRIDGES EXCAVATING INC,CONTRACTOR-GENERAL CONTRACTOR,MATCHED,BRIDGES EXCAVATING LLC,BRIDGES EXCAVATING LLC,287067,4101  DEAN DR,OAK LAWN,IL,60453,https://www.zoominfo.com/c/bridges-excavating-llc/372920838,,,https://www.zoominfo.com/c/bridges-excavating-llc/372920838,JOHN M BRIDGES,PRESIDENT,41.89040629525624,-87.6466064283064
3431371,101076176,PERMIT - WRECKING/DEMOLITION,470 N MILWAUKEE AVE,WRECK AND REMOVE A 1 STORY MASONRY COMMERCIAL GARAGE,M478A LLC,PROPERTY_OWNER,"ON TIME EXPEDITING, LLC",EXPEDITOR,MATCHED,OTE 1202 LLC,"ON TIME EXPEDITING, LLC",490064,214 S PROSPECT AVE  2,ITASCA,IL,60143,https://www.homes.com/property/1202-prospect-ave-willow-springs-il/p1xghly7szld1,,,https://www.homes.com/property/1202-prospect-ave-willow-springs-il/p1xghly7szld1,LISA ADREANI,MANAGING MEMBER,41.89040629525624,-87.6466064283064
3431371,101076176,PERMIT - WRECKING/DEMOLITION,470 N MILWAUKEE AVE,WRECK AND REMOVE A 1 STORY MASONRY COMMERCIAL GARAGE,M478A LLC,PROPERTY_OWNER,BRIDGES EXCAVATING INC,CONTRACTOR-GENERAL CONTRACTOR,MATCHED,BRIDGES EXCAVATING LLC,BRIDGES EXCAVATING LLC,287067,4101  DEAN DR,OAK LAWN,IL,60453,https://www.zoominfo.com/c/bridges-excavating-llc/372920838,,,https://www.zoominfo.com/c/bridges-excavating-llc/372920838,JOHN M BRIDGES,PRESIDENT,41.89040629525624,-87.6466064283064
3448226,101082936,PERMIT - WRECKING/DEMOLITION,11900 S COTTAGE GROVE AVE,"WRECK AND REMOVE A 1 STORY MASONRY BUILDING (#2, OFFICE)",CHICAGO TRANSIT AUTHORITY,PROPERTY_OWNER,"MCDONAGH DEMOLITION, INC",CONTRACTOR-GENERAL CONTRACTOR,MATCHED,MCDONAGH DEMOLITION INC.,MCDONAGH DEMOLITION INC,60384,605 N KEDZIE AVE,CHICAGO,IL,60612,https://www.sweetspot.so/markets/federal/contractors/mcdonagh-demolition-inc-cpq1axhtjy41,,,https://www.sweetspot.so/markets/federal/contractors/mcdonagh-demolition-inc-cpq1axhtjy41,COLEMAN MCDONAGH; GERALDINE MCDONAGH,SECRETARY; PRESIDENT,,
3455857,101086443,PERMIT - WRECKING/DEMOLITION,5636 N FRANCISCO AVE,WRECK AND REMOVE A 1 STORY MASONRY RESIDENCE AND A DETACHED FRAME GARAGE,FIMLA CONSTRUCTION INC,PROPERTY_OWNER,ALL CONCRETE CONTRACTORS INC,CONTRACTOR-GENERAL CONTRACTOR,MATCHED,GEORGE SAMS JR,G & L  CONCRETE CONTRACTORS,299491,300 S 1ST AVE 1 1,MAYWOOD,IL,60153,https://www.whitepages.com/name/George-Sams/IL,,,https://www.whitepages.com/name/George-Sams/IL,GEORGE SAMS,SOLE PROPRIETOR,41.984213105902796,-87.70176864312525
3430874,101075977,PERMIT - WRECKING/DEMOLITION,478 N MILWAUKEE AVE,WRECK AND REMOVE A 1 STORY MASONRY BUILDING,M478A LLC,PROPERTY_OWNER,"ON TIME EXPEDITING, LLC",EXPEDITOR,MATCHED,OTE 1202 LLC,"ON TIME EXPEDITING, LLC",490064,214 S PROSPECT AVE  2,ITASCA,IL,60143,https://www.homes.com/property/1202-prospect-ave-willow-springs-il/p1xghly7szld1,,,https://www.homes.com/property/1202-prospect-ave-willow-springs-il/p1xghly7szld1,LISA ADREANI,MANAGING MEMBER,41.89059250163437,-87.64689522918009
3430874,101075977,PERMIT - WRECKING/DEMOLITION,478 N MILWAUKEE AVE,WRECK AND REMOVE A 1 STORY MASONRY BUILDING,M478A LLC,PROPERTY_OWNER,BRIDGES EXCAVATING INC,CONTRACTOR-GENERAL CONTRACTOR,MATCHED,BRIDGES EXCAVATING LLC,BRIDGES EXCAVATING LLC,287067,4101  DEAN DR,OAK LAWN,IL,60453,https://www.zoominfo.com/c/bridges-excavating-llc/372920838,,,https://www.zoominfo.com/c/bridges-excavating-llc/372920838,JOHN M BRIDGES,PRESIDENT,41.89059250163437,-87.64689522918009
